City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Karlskrona,56.1616,15.5866,39.65,97,100,18.88,SE,overcast clouds
1,Kamenka,51.3223,42.7678,33.94,99,100,9.62,RU,snow
2,Pevek,69.7008,170.3133,-4.02,85,5,2.59,RU,clear sky
3,Puerto Ayora,-0.7393,-90.3518,76.55,95,100,8.01,EC,overcast clouds
4,Port Alfred,-33.5906,26.891,66.18,89,50,1.01,ZA,scattered clouds
5,Ahipara,-35.1667,173.1667,71.65,70,32,2.86,NZ,scattered clouds
6,Vaini,-21.2,-175.2,78.96,89,75,6.91,TO,broken clouds
7,Butaritari,3.0707,172.7902,81.54,73,98,11.54,KI,overcast clouds
8,Rikitea,-23.1203,-134.9692,77.76,64,100,9.66,PF,overcast clouds
9,Hermanus,-34.4187,19.2345,56.8,86,2,2.57,ZA,clear sky
10,Tiksi,71.6872,128.8694,6.66,92,100,8.81,RU,overcast clouds
11,Saint Anthony,45.0205,-93.218,38.93,84,100,8.05,US,light rain
12,Cervia,44.2657,12.3427,48.2,87,0,3.44,IT,clear sky
13,Pedasi,7.5333,-80.0333,78.06,78,100,6.11,PA,overcast clouds
14,Cherskiy,68.75,161.3,1.96,85,100,3.15,RU,overcast clouds
15,Dikson,73.5069,80.5464,2.34,94,81,9.71,RU,broken clouds
16,Thompson,55.7435,-97.8558,37.56,52,100,4.61,CA,overcast clouds
17,Aklavik,68.2191,-135.0107,-5.89,89,100,10.0,CA,overcast clouds
18,Namibe,-15.1961,12.1522,69.78,81,90,9.26,AO,overcast clouds
19,Mar Del Plata,-38.0023,-57.5575,55.42,61,0,14.97,AR,clear sky
20,Bluff,-46.6,168.3333,58.26,73,69,8.48,NZ,broken clouds
21,Lorengau,-2.0226,147.2712,84.67,69,83,5.5,PG,broken clouds
22,Mahebourg,-20.4081,57.7,79.25,83,40,11.5,MU,scattered clouds
23,Ushuaia,-54.8,-68.3,37.06,87,20,11.5,AR,few clouds
24,Voznesenye,61.0106,35.4781,17.15,97,91,4.03,RU,overcast clouds
25,Leningradskiy,69.3833,178.4167,-6.16,90,100,4.23,RU,overcast clouds
26,Vestmanna,62.1564,-7.1664,40.12,81,75,18.41,FO,broken clouds
27,Punta Arenas,-53.15,-70.9167,39.31,81,40,16.11,CL,scattered clouds
28,Yulara,-25.2406,130.9889,80.44,18,0,4.61,AU,clear sky
29,Yavatmal,20.4,78.1333,87.46,15,70,3.4,IN,broken clouds
30,Tasiilaq,65.6145,-37.6368,21.36,94,100,8.25,GL,overcast clouds
31,Bredasdorp,-34.5322,20.0403,58.48,92,22,3.4,ZA,few clouds
32,Adrar,20.5022,-10.0711,70.72,15,0,10.4,MR,clear sky
33,Tocopilla,-22.092,-70.1979,68.18,69,15,6.98,CL,few clouds
34,Port Macquarie,-31.4333,152.9167,77.9,53,53,1.36,AU,broken clouds
35,Anchorage,61.2181,-149.9003,42.85,47,100,4.61,US,overcast clouds
36,Walvis Bay,-22.9575,14.5053,59.09,88,0,3.44,NA,clear sky
37,Knysna,-34.0363,23.0471,60.06,91,78,5.21,ZA,broken clouds
38,Grand Gaube,-20.0064,57.6608,79.38,81,14,8.99,MU,few clouds
39,Zhangjiakou,40.81,114.8794,53.29,26,8,4.14,CN,clear sky
40,Kichera,55.9375,110.0997,18.14,68,99,3.38,RU,overcast clouds
41,Arroyo,41.6096,-4.7969,31.59,74,0,14.97,ES,clear sky
42,Saskylakh,71.9167,114.0833,-3.03,96,100,11.63,RU,overcast clouds
43,Atuona,-9.8,-139.0333,79.88,74,13,21.14,PF,few clouds
44,New Norfolk,-42.7826,147.0587,67.5,59,63,1.5,AU,broken clouds
45,Port-Gentil,-0.7193,8.7815,80.44,79,90,4.27,GA,overcast clouds
46,Busselton,-33.65,115.3333,68.63,52,15,14.54,AU,few clouds
47,Arraial Do Cabo,-22.9661,-42.0278,76.33,87,3,2.91,BR,clear sky
48,Tecoanapa,16.5167,-98.75,76.91,71,94,6.2,MX,overcast clouds
49,Barrow,71.2906,-156.7887,-5.78,77,40,14.97,US,haze
50,Vryburg,-26.9566,24.7284,61.7,87,64,11.81,ZA,broken clouds
51,Itarema,-2.9248,-39.9167,76.39,92,64,8.16,BR,light rain
52,Port Hedland,-20.3167,118.5667,89.65,51,1,8.05,AU,clear sky
53,Sabha,27.0377,14.4283,74.03,11,0,8.1,LY,clear sky
54,Beckley,37.7782,-81.1882,43.21,55,0,6.91,US,clear sky
55,Bambous Virieux,-20.3428,57.7575,79.21,83,40,11.5,MU,light rain
56,Digby,44.6169,-65.7655,38.35,65,97,0.81,CA,overcast clouds
57,Lethem,3.3803,-59.7968,75.6,88,100,1.66,GY,light rain
58,Talnakh,69.4865,88.3972,2.16,95,86,8.01,RU,overcast clouds
59,Clyde River,70.4692,-68.5914,10.63,92,100,9.22,CA,overcast clouds
60,Batsfjord,70.6345,29.7185,17.38,92,93,5.75,NO,overcast clouds
61,Imeni Stepana Razina,54.8932,44.2963,28.06,96,100,5.86,RU,overcast clouds
62,Terrace,54.5163,-128.6035,44.51,61,75,16.11,CA,broken clouds
63,Nanortalik,60.1432,-45.2371,35.56,81,100,4.97,GL,overcast clouds
64,Verkhnyaya Inta,65.9811,60.3094,21.09,77,100,22.82,RU,overcast clouds
65,Caravelas,-17.7125,-39.2481,76.57,79,1,5.1,BR,clear sky
66,Hilo,19.7297,-155.09,78.53,80,100,12.66,US,moderate rain
67,Slavyanka,42.8633,131.3847,45.0,73,35,7.92,RU,scattered clouds
68,Guerrero Negro,27.9769,-114.0611,60.42,69,0,12.93,MX,clear sky
69,Kapaa,22.0752,-159.319,82.38,71,40,19.57,US,scattered clouds
70,Norman Wells,65.282,-126.8329,5.04,56,75,9.22,CA,broken clouds
71,Victoria,22.2855,114.1577,71.38,42,0,10.0,HK,clear sky
72,Qaanaaq,77.484,-69.3632,10.65,67,86,7.81,GL,overcast clouds
73,Saint-Philippe,-21.3585,55.7679,72.99,86,97,13.78,RE,overcast clouds
74,Namatanai,-3.6667,152.4333,84.56,71,99,7.2,PG,light rain
75,Yichun,47.7,128.9,50.29,50,56,12.19,CN,broken clouds
76,Maniitsoq,65.4167,-52.9,27.52,83,9,4.92,GL,clear sky
77,Tura,25.5198,90.2201,73.78,91,61,8.05,IN,broken clouds
78,Bernalillo,35.05,-106.6673,71.17,19,75,5.75,US,broken clouds
79,Port Elizabeth,-33.918,25.5701,62.31,94,20,8.99,ZA,few clouds
80,Saint George,37.1041,-113.5841,72.25,26,0,6.91,US,clear sky
81,Thayetmyo,19.3167,95.1833,85.64,52,8,8.84,MM,clear sky
82,Lagoa,39.05,-27.9833,58.78,74,96,14.34,PT,overcast clouds
83,Yenagoa,4.9247,6.2642,77.56,90,100,3.94,NG,overcast clouds
84,Wonthaggi,-38.6044,145.5913,60.82,75,100,14.99,AU,overcast clouds
85,Bathsheba,13.2167,-59.5167,79.41,69,40,19.57,BB,scattered clouds
86,Cape Town,-33.9258,18.4232,59.11,81,20,10.36,ZA,few clouds
87,Lebu,-37.6167,-73.65,52.54,78,0,19.98,CL,clear sky
88,Samarai,-10.6167,150.6667,82.76,74,93,11.36,PG,overcast clouds
89,Elko,41.0002,-115.5012,59.02,15,100,8.01,US,overcast clouds
90,Tombouctou,20.0,-3.0,83.41,13,4,6.42,ML,clear sky
91,Georgetown,5.4112,100.3354,82.33,92,20,5.01,MY,few clouds
92,Kodiak,57.79,-152.4072,36.91,87,100,6.91,US,light rain
93,Jamestown,42.097,-79.2353,35.19,71,100,13.8,US,overcast clouds
94,Makurdi,7.7411,8.5121,82.11,66,24,10.4,NG,few clouds
95,Tomatlan,19.9333,-105.25,66.87,84,4,4.27,MX,clear sky
96,Faanui,-16.4833,-151.75,82.22,69,9,11.56,PF,clear sky
97,Sao Joao Da Barra,-21.6403,-41.0511,74.26,93,0,6.58,BR,clear sky
98,Cabo San Lucas,22.8909,-109.9124,71.51,68,0,14.97,MX,clear sky
99,East London,-33.0153,27.9116,67.82,80,65,8.14,ZA,broken clouds
100,Albany,42.6001,-73.9662,37.22,90,100,3.0,US,light rain
101,Isangel,-19.55,169.2667,84.52,70,100,8.72,VU,overcast clouds
102,Casablanca,33.5928,-7.6192,57.22,85,100,8.9,MA,overcast clouds
103,Pandoh,31.6833,77.05,70.0,19,1,6.51,IN,clear sky
104,Yerbogachen,61.2767,108.0108,13.21,89,100,10.13,RU,light snow
105,Avarua,-21.2078,-159.775,73.45,88,75,5.75,CK,light rain
106,Mogzon,51.7435,111.9606,24.31,77,100,3.0,RU,light snow
107,Mayo,38.8876,-76.5119,47.98,49,100,19.57,US,overcast clouds
108,Mataura,-46.1927,168.8643,66.94,45,10,1.66,NZ,clear sky
109,Mehamn,71.0357,27.8492,25.77,78,99,14.25,NO,light snow
