City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
4,Port Alfred,ZA,66.18,scattered clouds,-33.5906,26.891,The Halyards Hotel
5,Ahipara,NZ,71.65,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
6,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
8,Rikitea,PF,77.76,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Hermanus,ZA,56.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Cervia,IT,48.2,clear sky,44.2657,12.3427,Color Beach Hotel Metropolitan Milano Marittima
13,Pedasi,PA,78.06,overcast clouds,7.5333,-80.0333,Selina Pedasi
18,Namibe,AO,69.78,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
19,Mar Del Plata,AR,55.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
20,Bluff,NZ,58.26,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
22,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
26,Vestmanna,FO,40.12,broken clouds,62.1564,-7.1664,Vestmanna Camping
31,Bredasdorp,ZA,58.48,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
33,Tocopilla,CL,68.18,few clouds,-22.092,-70.1979,Hotel Galvarino
34,Port Macquarie,AU,77.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
35,Anchorage,US,42.85,overcast clouds,61.2181,-149.9003,Hotel Captain Cook
37,Knysna,ZA,60.06,broken clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
38,Grand Gaube,MU,79.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
39,Zhangjiakou,CN,53.29,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
43,Atuona,PF,79.88,few clouds,-9.8,-139.0333,Villa Enata
44,New Norfolk,AU,67.5,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
46,Busselton,AU,68.63,few clouds,-33.65,115.3333,Observatory Guest House
47,Arraial Do Cabo,BR,76.33,clear sky,-22.9661,-42.0278,Pousada Porto Praia
48,Tecoanapa,MX,76.91,overcast clouds,16.5167,-98.75,Hotel Manglares
50,Vryburg,ZA,61.7,broken clouds,-26.9566,24.7284,The Times Premier Lodge
51,Itarema,BR,76.39,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
53,Sabha,LY,74.03,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
54,Beckley,US,43.21,clear sky,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
55,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
57,Lethem,GY,75.6,light rain,3.3803,-59.7968,Savannah Inn
62,Terrace,CA,44.51,broken clouds,54.5163,-128.6035,Northern Motor Inn
65,Caravelas,BR,76.57,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
66,Hilo,US,78.53,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
67,Slavyanka,RU,45.0,scattered clouds,42.8633,131.3847,"Gostevoy Dom, ""Nattalika"""
68,Guerrero Negro,MX,60.42,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
71,Victoria,HK,71.38,clear sky,22.2855,114.1577,Mini Hotel Central
73,Saint-Philippe,RE,72.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
75,Yichun,CN,50.29,broken clouds,47.7,128.9,锦江酒店
77,Tura,IN,73.78,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
78,Bernalillo,US,71.17,broken clouds,35.05,-106.6673,DoubleTree by Hilton Hotel Albuquerque
79,Port Elizabeth,ZA,62.31,few clouds,-33.918,25.5701,39 On Nile Guest House
80,Saint George,US,72.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
82,Lagoa,PT,58.78,overcast clouds,39.05,-27.9833,Casa Das Faias
83,Yenagoa,NG,77.56,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
84,Wonthaggi,AU,60.82,overcast clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
85,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
86,Cape Town,ZA,59.11,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
87,Lebu,CL,52.54,clear sky,-37.6167,-73.65,Hostal Las Lilas
95,Tomatlan,MX,66.87,clear sky,19.9333,-105.25,El Salvial
97,Sao Joao Da Barra,BR,74.26,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
98,Cabo San Lucas,MX,71.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
99,East London,ZA,67.82,broken clouds,-33.0153,27.9116,Tu Casa
102,Casablanca,MA,57.22,overcast clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
103,Pandoh,IN,70.0,clear sky,31.6833,77.05,PWD Rest House
105,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
107,Mayo,US,47.98,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
108,Mataura,NZ,66.94,clear sky,-46.1927,168.8643,Ellie's Villa
110,Iwaki,JP,55.02,light rain,37.05,140.8833,Toyoko Inn Iwaki Ekimae
111,Bujumbura,BI,69.44,broken clouds,-3.3822,29.3644,Bora Guest House
112,Robertsport,LR,78.33,broken clouds,6.7533,-11.3686,Kwepunha Retreat
113,Neuquen,AR,57.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
